"PSet.Name" "Dataset.Type" "Available.Molecular.Profiles" "Date.Updated" "URL"
"CCLE_2013" "CCLE_2013" "sensitivity" "rna/mutation" "Tue Sep 15 18:50:07 2015" "https://www.pmgenomics.ca/bhklab/sites/default/files/downloads/CCLE_Nature2013.RData"
"CCLE" "CCLE" "sensitivity" "rna/rnaseq/mutation/cnv" "Thu Dec 10 18:17:14 2015" "https://www.pmgenomics.ca/bhklab/sites/default/files/downloads/CCLE.RData"
"GDSC_2013" "GDSC_2013" "sensitivity" "rna/mutation" "Mon Oct  5 16:07:54 2015" "https://www.pmgenomics.ca/bhklab/sites/default/files/downloads/CGP_Nature2013.RData"
"GDSC" "GDSC" "sensitivity" "rna/rna2/mutation/fusion/cnv" "Wed Dec 30 10:44:21 2015" "https://www.pmgenomics.ca/bhklab/sites/default/files/downloads/GDSC.RData"
"GDSC1000" "GDSC1000" "sensitivity" "rna" "Thu Aug 25 11:13:00 2016" "https://www.pmgenomics.ca/bhklab/sites/default/files/downloads/GDSC1000.RData"
"gCSI" "gCSI" "sensitivity" "rnaseq/cnv" "Mon Jun 13 18:50:12 2016" "https://www.pmgenomics.ca/bhklab/sites/default/files/downloads/gCSI.RData" 
"FIMM" "FIMM" "sensitivity" "" "Mon Oct 3 17:14:00 2016" "https://www.pmgenomics.ca/bhklab/sites/default/files/downloads/FIMM.RData" 
"CTRPv2" "CTRPv2" "sensitivity" "" "Thu Aug 25 11:15:00 2016" "https://www.pmgenomics.ca/bhklab/sites/default/files/downloads/CTRPv2.RData" 
"CMAP" "CMAP" "perturbation" "rna" "Mon Sep 21 02:38:45 2015" "https://www.pmgenomics.ca/bhklab/sites/default/files/downloads/CMAP.RData"
"L1000_compounds" "L1000_compounds" "perturbation" "rna" "Mon Jan 25 12:51:00 2016" "https://www.pmgenomics.ca/bhklab/sites/default/files/downloads/L1000_compounds.RData" 
"L1000_genetic" "L1000_genetic" "perturbation" "rna" "Mon Jan 25 12:51:00 2016" "https://www.pmgenomics.ca/bhklab/sites/default/files/downloads/L1000_genetic.RData" 
